nome,pop,lat,lon
Abadia de Goiás,5,-16.7573,-49.4412
Abadia dos Dourados,6,-18.4831,-47.3916
Abadiânia,7,-16197,-48.7057
Abaeté,8,-19.1551,-45.4444
Abaetetuba,9,-1.72183,-48.8788
Abaiara,10,-7.34588,-39.0416
Abaíra,11,-13.2488,-41.6619
Abaré,12,-8.72073,-39.1162
Abatiá,13,-23.3049,-50.3133
Abdon Batista,14,-27.6126,-51.0233
Abel Figueiredo,15,-4.95333,-48.3933
Abelardo Luz,16,-26.5716,-52.3229
Abre Campo,17,-20.2996,-42.4743
Abreu e Lima,18,-7.90072,-34.8984
Abreulândia,19,-9.62101,-49.1518
Acaiaca,20,-20359,-43.1439
Açailândia,21,-4.94714,-47.5004
Acajutiba,22,-11.6575,-38.0197
Acará,23,-1.95383,-48.1985
Acarape,24,-4.22083,-38.7055
Acaraú,25,-2.88769,-40.1183
Acari,26,-6.4282,-36.6347
Acauã,27,-8.21954,-41.0831
Aceguá,28,-31.8665,-54.1615
Acopiara,29,-6.08911,-39448
Acorizal,30,-15194,-56.3632
Acrelândia,31,-9.82581,-66.8972
Acreúna,32,-17396,-50.3749
Açu,33,-5.58362,-36914
Açucena,34,-19.0671,-42.5419
Adamantina,35,-21682,-51.0737
Adelândia,10,-16.4127,-50.1657
Adolfo,10,-21.2325,-49.6451
Adrianópolis,10,-24.6606,-48.9922
Adustina,10,-10.5437,-38.1113
Afogados da Ingazeira,10,-7.74312,-37631
Afonso Bezerra,10,-5.49229,-36.5075
Afonso Cláudio,10,-20.0778,-41.1261
Afonso Cunha,10,-4.13631,-43.3275
Afrânio,10,-8.51136,-41.0095
Afuá,10,-0.154874,-50.3861
Agrestina,10,-8.45966,-35.9447
Agricolândia,10,-5.79676,-42.6664
Agrolândia,10,-27.4087,-49822
Agronômica,10,-27.2662,-49708
Água Azul do Norte,10,-6.79053,-50.4791
Água Boa,10,-17.9914,-42.3806
Água Boa,10,-14051,-52.1601
Água Branca,10,-5.88856,-42637
Água Branca,10,-7.51144,-37.6357
Água Branca,10,-9262,-37938
Água Clara,10,-20.4452,-52879
Água Comprida,10,-20.0576,-48.1069
Água Doce,10,-26.9985,-51.5528
Água Doce do Maranhão,10,-2.84048,-42.1189
Água Doce do Norte,10,-18.5482,-40.9854
Água Fria,10,-11.8618,-38.7639
Água Fria de Goiás,10,-14.9778,-47.7823
Água Limpa,10,-18.0771,-48.7603
Água Nova,10,-6.20351,-38.2941
Água Preta,10,-8.70609,-35.5263
Água Santa,10,-28.1672,-52031
Aguaí,10,-22.0572,-46.9735
Aguanil,10,-20.9439,-45.3915
Águas Belas,10,-9.11125,-37.1226
Águas da Prata,10,-21.9319,-46.7176
